DAUID,MAG_mean,MAG_std,hf_transit_mean,hf_walk_mean,n_blocks,CSDNAME,CMANAME,Residential instability Scores,Economic dependency Scores,Situational vulnerability Scores,Ethno-cultural composition Scores,Residential instability Quintiles,Economic dependency Quintiles,Situational vulnerability Quintiles,Ethno-cultural composition Quintiles
48060093,-0.1693625,0.019875608705862843,0.1762375,0.006875,8,Calgary,Calgary,1.532,-0.863,0.093,0.501,5.0,1.0,4.0,4.0
48060094,-0.11955,0.023144321450079608,0.12487857142857142,0.005328571428571428,14,Calgary,Calgary,1.514,-0.758,1.173,0.594,5.0,2.0,5.0,4.0
48060095,-0.13406666666666667,0.02108287219522045,0.14388888888888887,0.009822222222222224,9,Calgary,Calgary,1.137,-0.118,0.18,1.168,5.0,3.0,4.0,5.0
48060096,-0.1371,0.009549270727577646,0.146675,0.009575,8,Calgary,Calgary,0.984,-0.285,0.441,0.549,5.0,3.0,4.0,4.0
48060097,-0.169375,0.011479391472174312,0.188275,0.0189,8,Calgary,Calgary,1.201,-1.245,0.147,0.625,5.0,1.0,4.0,4.0
48060098,-0.15337142857142855,0.01025145750380797,0.17005714285714285,0.016685714285714286,7,Calgary,Calgary,-0.676,-1.594,-0.658,-0.086,2.0,1.0,1.0,4.0
48060099,-0.1379,0.007032780389006894,0.14856666666666665,0.010666666666666666,6,Calgary,Calgary,0.212,-0.55,-0.886,-0.605,4.0,2.0,1.0,2.0
48060100,-0.13682,0.009856825046636467,0.1522,0.01538,5,Calgary,Calgary,-0.301,-1.192,-0.879,-0.723,3.0,1.0,1.0,2.0
48060101,-0.09419999999999999,0.003022416251941488,0.1055,0.011300000000000001,5,Calgary,Calgary,-0.561,0.013,-0.629,-0.579,2.0,3.0,2.0,2.0
48060102,-0.09743333333333333,0.00755562704214548,0.1203111111111111,0.022877777777777778,9,Calgary,Calgary,-0.154,-0.963,-0.664,-0.473,3.0,1.0,1.0,3.0
48060103,-0.09373333333333334,0.011202218395018768,0.12771666666666667,0.03398333333333333,12,Calgary,Calgary,0.261,-0.726,-0.576,-0.198,4.0,2.0,2.0,3.0
48060104,-0.10160833333333334,0.01275798917850254,0.14574166666666666,0.04413333333333333,12,Calgary,Calgary,0.842,-1.218,-0.221,-0.075,5.0,1.0,3.0,4.0
48060105,-0.07955,0.015306567218027688,0.1306166666666667,0.05106666666666667,6,Calgary,Calgary,-1.015,-0.183,-0.831,-0.011,1.0,3.0,1.0,4.0
48060106,-0.13817,0.006014621074237894,0.18185,0.04368,10,Calgary,Calgary,0.934,-1.133,-0.209,0.093,5.0,1.0,3.0,4.0
48060107,-0.13316666666666666,0.006986653944008766,0.1764,0.043233333333333325,3,Calgary,Calgary,0.381,-0.967,-0.345,-0.236,4.0,1.0,2.0,3.0
48060108,-0.11872500000000001,0.011098494983964763,0.16255,0.043825,12,Calgary,Calgary,-1.152,-0.569,-0.643,-0.479,1.0,2.0,2.0,3.0
48060109,-0.11643999999999999,0.032512197711013026,0.17024,0.0538,5,Calgary,Calgary,2.259,-1.156,-0.576,-0.288,5.0,1.0,2.0,3.0
48060110,-0.09876,0.014573278438444954,0.13958,0.04082,10,Calgary,Calgary,0.2,-1.054,-0.115,-0.422,4.0,1.0,3.0,3.0
48060112,-0.09824,0.02151982806622766,0.1586,0.060360000000000004,5,Calgary,Calgary,2.032,-1.272,-0.624,-0.49,5.0,1.0,2.0,3.0
48060113,-0.13946666666666666,0.018513328531988324,0.2061666666666667,0.0667,3,Calgary,Calgary,1.796,-1.459,-0.167,-0.221,5.0,1.0,3.0,3.0
48060114,-0.16584,0.01090655766041698,0.24308000000000002,0.07724,5,Calgary,Calgary,2.945,-1.589,-0.558,-0.189,5.0,1.0,2.0,3.0
48060115,-0.13635,0.0091787798753429,0.211625,0.07527500000000001,4,Calgary,Calgary,2.208,-1.287,-0.745,-0.378,5.0,1.0,1.0,3.0
48060116,-0.1376,0.014043859868284091,0.21953333333333333,0.08193333333333334,3,Calgary,Calgary,1.082,-0.436,0.085,0.312,5.0,2.0,4.0,4.0
48060117,-0.12625999999999998,0.004758991489801186,0.19724,0.07098,5,Calgary,Calgary,0.109,-1.049,-1.04,-0.093,4.0,1.0,1.0,3.0
48060118,-0.09795,0.024196921291767676,0.18753333333333333,0.08958333333333333,6,Calgary,Calgary,2.893,-1.627,-0.914,0.069,5.0,1.0,1.0,4.0
48060119,-0.12037,0.008320663702160086,0.1743,0.05393,10,Calgary,Calgary,-0.559,-0.988,-0.561,-0.145,2.0,1.0,2.0,3.0
48060120,-0.1258,0.00355996254661948,0.1863,0.0605,4,Calgary,Calgary,-0.676,-1.439,-0.841,-0.36,2.0,1.0,1.0,3.0
48060121,-0.0836,0.026471966303997892,0.13716,0.05356000000000001,5,Calgary,Calgary,-0.231,-0.358,-0.61,-0.125,3.0,2.0,2.0,3.0
48060122,-0.12635000000000002,0.0051618795026617875,0.18275,0.0564,2,Calgary,Calgary,1.429,-1.04,0.035,-0.194,5.0,1.0,4.0,3.0
48060123,-0.111975,0.00904299913376825,0.169275,0.057300000000000004,4,Calgary,Calgary,2.03,-0.38,-0.442,-0.332,5.0,2.0,2.0,3.0
48060124,-0.12359999999999999,0.020960200380721553,0.1762,0.0526,3,Calgary,Calgary,1.116,0.036,-0.851,0.011,5.0,3.0,1.0,4.0
48060125,-0.1463,0.02306028331713785,0.1982142857142857,0.05191428571428571,7,Calgary,Calgary,0.47,1.446,-1.348,0.11,4.0,5.0,1.0,4.0
48060126,-0.1057,0.04644379091208764,0.1587625,0.0530625,8,Calgary,Calgary,-0.802,-0.565,-1.112,-0.189,2.0,2.0,1.0,3.0
48060127,-0.12279999999999999,0.056781941573786375,0.17292000000000002,0.05012,10,Calgary,Calgary,-1.181,-0.134,-0.948,-0.309,1.0,3.0,1.0,3.0
48060128,-0.0654,0.007383495107332297,0.11185,0.04645,6,Calgary,Calgary,-0.962,-1.329,-0.57,-0.47,1.0,1.0,2.0,3.0
48060129,-0.12013750000000001,0.01939616585823085,0.16570000000000001,0.0455625,8,Calgary,Calgary,-0.704,-0.979,-0.304,-0.282,2.0,1.0,3.0,3.0
48060130,-0.08724444444444444,0.009476564661193307,0.13937777777777777,0.05213333333333334,9,Calgary,Calgary,-0.201,-0.009,-0.698,-0.188,3.0,3.0,1.0,3.0
48060131,-0.1032,0.014142135623730944,0.1545,0.0513,2,Calgary,Calgary,0.644,-0.136,-0.633,0.268,4.0,3.0,2.0,4.0
48060132,-0.07224444444444444,0.0132093821875884,0.1277111111111111,0.055466666666666664,9,Calgary,Calgary,-1.065,0.227,-1.194,-0.106,1.0,4.0,1.0,3.0
48060133,-0.11535,0.011253290117185203,0.15504285714285712,0.03969285714285714,14,Calgary,Calgary,-0.617,-1.21,-0.93,-0.454,2.0,1.0,1.0,3.0
48060134,-0.13761333333333334,0.018166997812621915,0.17119333333333334,0.033580000000000006,15,Calgary,Calgary,0.102,-1.087,-0.472,-0.436,4.0,1.0,2.0,3.0
48060135,-0.11508750000000001,0.00880299259180812,0.148625,0.0335375,8,Calgary,Calgary,0.993,-0.194,-0.814,0.16,5.0,3.0,1.0,4.0
48060136,-0.10808461538461539,0.006523655181190746,0.1354,0.027315384615384613,13,Calgary,Calgary,-0.422,-1.189,-0.84,-0.126,3.0,1.0,1.0,3.0
48060137,-0.09138181818181818,0.0075441126955816595,0.12724545454545455,0.03586363636363637,11,Calgary,Calgary,-0.214,-1.425,-0.797,-0.317,3.0,1.0,1.0,3.0
48060138,-0.11332500000000001,0.011430186641812404,0.127775,0.014450000000000001,4,Calgary,Calgary,1.435,0.695,-0.959,-0.626,5.0,5.0,1.0,2.0
48060139,-0.0478,0.08273149339882606,0.06765,0.01985,2,Calgary,Calgary,-0.15,0.001,-0.806,-0.627,3.0,3.0,1.0,2.0
48060140,-0.06527000000000001,0.030502096467110076,0.07806,0.01279,10,Calgary,Calgary,-0.766,-0.227,-0.712,-0.586,2.0,3.0,1.0,2.0
48060142,-0.08777,0.015934103886528,0.10539000000000001,0.01762,10,Calgary,Calgary,-1.042,-1.19,-0.975,-0.426,1.0,1.0,1.0,3.0
48060143,-0.08587692307692309,0.02179901197478737,0.10917692307692307,0.0233,13,Calgary,Calgary,0.392,-0.627,-0.114,0.727,4.0,2.0,3.0,4.0
48060144,-0.11146666666666666,0.01662933151592891,0.13238333333333333,0.020916666666666667,6,Calgary,Calgary,1.244,-1.65,0.27,1.055,5.0,1.0,4.0,5.0
48060145,-0.08621428571428572,0.01520958344503322,0.10867142857142857,0.02245714285714286,7,Calgary,Calgary,0.848,-0.99,-0.254,0.737,5.0,1.0,3.0,4.0
48060146,-0.10803333333333333,0.011140496697484662,0.13818333333333335,0.03015,6,Calgary,Calgary,1.352,-0.77,0.435,1.384,5.0,2.0,4.0,5.0
48060147,-0.10816666666666667,0.010114280333600947,0.13371666666666668,0.02555,6,Calgary,Calgary,0.433,-0.093,-0.486,0.595,4.0,3.0,2.0,4.0
48060148,-0.11732500000000001,0.012615962111547417,0.14945,0.032125,4,Calgary,Calgary,1.795,-1.086,0.093,1.394,5.0,1.0,4.0,5.0
48060149,-0.13671428571428573,0.01648933277116134,0.15968571428571426,0.02297142857142857,7,Calgary,Calgary,0.822,0.606,0.063,0.346,5.0,4.0,4.0,4.0
48060150,-0.136575,0.0076369169171858825,0.15735,0.020775000000000002,4,Calgary,Calgary,1.08,-0.196,0.262,1.217,5.0,3.0,4.0,5.0
48060151,-0.15955,0.02241528496361356,0.17185,0.012299999999999998,2,Calgary,Calgary,0.734,-0.286,0.402,0.491,4.0,3.0,4.0,4.0
48060152,-0.1079,0.055012907576313386,0.1157,0.0078000000000000005,2,Calgary,Calgary,-0.518,-0.774,-0.566,-0.432,2.0,2.0,2.0,3.0
48060153,-0.05577142857142857,0.04440415574717132,0.06341428571428571,0.007642857142857143,7,Calgary,Calgary,-0.766,0.762,-0.184,-0.128,2.0,5.0,3.0,3.0
48060154,-0.09226,0.058114266750945075,0.10118,0.00892,5,Calgary,Calgary,0.121,-0.353,-0.086,0.341,4.0,2.0,3.0,4.0
48060155,-0.08846,0.009733601594476726,0.09576,0.007299999999999999,5,Calgary,Calgary,-0.381,-0.548,-0.422,-0.524,3.0,2.0,2.0,3.0
48060156,-0.09964999999999999,0.0014849242404917481,0.10464999999999999,0.005,2,Calgary,Calgary,-0.356,-0.676,-0.473,-0.333,3.0,2.0,2.0,3.0
48060157,-0.104375,0.010035395690587727,0.1112,0.0068249999999999995,4,Calgary,Calgary,-0.627,-0.419,0.033,-0.352,2.0,2.0,4.0,3.0
48060160,-0.0435,0.0002828427124746198,0.047799999999999995,0.0043,2,Calgary,Calgary,-0.885,0.737,-0.948,-0.45,1.0,5.0,1.0,3.0
48060161,-0.04293333333333333,0.0003214550253664315,0.04763333333333333,0.0047,3,Calgary,Calgary,-0.677,0.235,-0.888,-0.361,2.0,4.0,1.0,3.0
48060162,-0.0503,0.01034633590536605,0.056374999999999995,0.0060750000000000005,4,Calgary,Calgary,-1.589,-0.77,-0.397,-0.282,1.0,2.0,2.0,3.0
48060163,-0.048119999999999996,0.007437876040913833,0.05469999999999999,0.00658,5,Calgary,Calgary,-0.679,0.661,0.686,0.238,2.0,4.0,5.0,4.0
48060165,-0.04414285714285714,0.03653417838786293,0.049114285714285714,0.004971428571428571,7,Calgary,Calgary,-0.996,-0.469,-0.812,-0.178,1.0,2.0,1.0,3.0
48060166,-0.05438,0.0026080644163823867,0.0652,0.01082,5,Calgary,Calgary,-0.93,0.527,-0.902,-0.505,1.0,4.0,1.0,3.0
48060167,-0.005133333333333333,0.007741231598826291,0.01908333333333333,0.013949999999999999,6,Calgary,Calgary,-0.827,-0.36,-0.178,-0.625,1.0,2.0,3.0,2.0
48060168,-0.050833333333333335,0.010682852303263083,0.060066666666666664,0.009233333333333335,3,Calgary,Calgary,0.213,-0.324,-0.456,-0.109,4.0,2.0,2.0,3.0
48060169,-0.03643333333333334,0.0029871948937646043,0.0522,0.01576666666666667,3,Calgary,Calgary,0.282,2.168,-1.168,-0.063,4.0,5.0,1.0,4.0
48060171,-0.04948,0.003870012919875074,0.056940000000000004,0.00746,5,Calgary,Calgary,-1.417,-0.02,-0.679,0.363,1.0,3.0,1.0,4.0
48060172,0.0005333333333333333,0.005118919156749141,0.005,0.005533333333333334,3,Calgary,Calgary,-0.839,0.448,-0.984,0.438,1.0,4.0,1.0,4.0
48060173,-0.0436,0.02072546742536824,0.04946,0.00586,5,Calgary,Calgary,1.273,0.257,-0.704,0.099,5.0,4.0,1.0,4.0
48060174,-0.07665999999999999,0.04575022404316726,0.08499999999999999,0.00834,5,Calgary,Calgary,-0.643,-0.213,-0.992,-0.638,2.0,3.0,1.0,2.0
48060175,-0.08493999999999999,0.012242467071632257,0.09025999999999999,0.00532,5,Calgary,Calgary,-1.098,0.174,-0.814,-0.619,1.0,4.0,1.0,2.0
48060177,-0.11491111111111112,0.00437591260323045,0.12781111111111113,0.0129,9,Calgary,Calgary,0.852,-1.742,-0.026,0.154,5.0,1.0,3.0,4.0
48060178,-0.07695,0.02963993445144092,0.100675,0.023725,8,Calgary,Calgary,0.008,-0.359,-0.302,-0.555,4.0,2.0,3.0,2.0
48060179,-0.052,0.009546203433826455,0.08935454545454545,0.03735454545454545,11,Calgary,Calgary,-0.057,-1.496,-0.709,-0.306,3.0,1.0,1.0,3.0
48060180,-0.0924888888888889,0.015632933541441,0.11225555555555555,0.01976666666666667,9,Calgary,Calgary,0.085,-0.886,-0.266,-0.105,4.0,1.0,3.0,3.0
48060181,-0.02513076923076923,0.012966777074211915,0.09808461538461538,0.07295384615384616,13,Calgary,Calgary,-0.068,-0.112,0.102,-0.423,3.0,3.0,4.0,3.0
48060183,-0.1027,0.008169944920254973,0.11636666666666667,0.013666666666666667,6,Calgary,Calgary,0.357,-0.75,-0.666,-0.817,4.0,2.0,1.0,1.0
48060184,-0.043399999999999994,0.05711103220919755,0.046099999999999995,0.0026999999999999997,3,Calgary,Calgary,1.529,0.437,1.013,-0.072,5.0,4.0,5.0,4.0
48060185,-0.06897142857142856,0.023251072683908178,0.07444285714285714,0.0054714285714285715,7,Calgary,Calgary,0.368,-1.112,0.217,-0.502,4.0,1.0,4.0,3.0
48060186,-0.06825714285714286,0.0023308490176022,0.07502857142857143,0.0067714285714285715,7,Calgary,Calgary,0.194,-1.376,-0.304,-0.397,4.0,1.0,3.0,3.0
48060187,-0.07533333333333334,0.00306648550189518,0.08246666666666667,0.007133333333333334,3,Calgary,Calgary,2.123,-0.149,1.314,0.968,5.0,3.0,5.0,5.0
48060188,-0.06948571428571429,0.0021474237056129768,0.07611428571428572,0.006628571428571428,7,Calgary,Calgary,1.233,-0.057,1.386,0.16,5.0,3.0,5.0,4.0
48060189,-0.062328571428571435,0.011019182408526547,0.06811428571428571,0.0057857142857142855,7,Calgary,Calgary,0.871,-0.706,0.279,-0.264,5.0,2.0,4.0,3.0
48060190,-0.058875,0.013803230298255061,0.062025,0.00315,4,Calgary,Calgary,0.306,-1.075,0.125,-0.385,4.0,1.0,4.0,3.0
48060191,-0.05334,0.013891112266481757,0.055479999999999995,0.0021400000000000004,5,Calgary,Calgary,0.185,-0.019,0.052,0.022,4.0,3.0,4.0,4.0
48060192,-0.067,0.003818376618407363,0.0703,0.0033,2,Calgary,Calgary,0.701,-0.232,0.654,-0.343,4.0,3.0,5.0,3.0
48060193,-0.07016,0.002661390613946022,0.07372000000000001,0.00356,5,Calgary,Calgary,1.068,0.636,0.566,0.658,5.0,4.0,5.0,4.0
48060194,-0.06962499999999999,0.0009878427675158257,0.07355,0.003925,4,Calgary,Calgary,0.93,-1.04,0.573,0.434,5.0,1.0,5.0,4.0
48060195,-0.07278,0.0015562776101968473,0.07622,0.00344,5,Calgary,Calgary,2.727,0.59,0.997,0.304,5.0,4.0,5.0,4.0
48060196,-0.06166666666666667,0.0015373136743466866,0.0646,0.002933333333333333,3,Calgary,Calgary,1.541,-0.022,1.034,-0.208,5.0,3.0,5.0,3.0
48060197,-0.04144,0.020286522619709865,0.04464,0.0032,5,Calgary,Calgary,1.2,-0.08,0.525,-0.037,5.0,3.0,5.0,4.0
48060198,-0.0419125,0.01922925134119519,0.044324999999999996,0.0024124999999999997,8,Calgary,Calgary,-0.063,-0.943,-0.71,-0.783,3.0,1.0,1.0,2.0
48060199,-0.06914444444444444,0.005450942833838725,0.07175555555555556,0.002611111111111111,9,Calgary,Calgary,-0.441,-1.375,-0.374,-0.573,3.0,1.0,2.0,2.0
48060200,-0.0743875,0.0017274568425454623,0.07695,0.0025625,8,Calgary,Calgary,0.338,-0.408,0.264,-0.643,4.0,2.0,4.0,2.0
48060201,-0.0675625,0.008276461890721867,0.069975,0.0024124999999999997,8,Calgary,Calgary,0.484,-0.659,0.086,-0.751,4.0,2.0,4.0,2.0
48060202,-0.052700000000000004,,0.0539,0.0012,1,Calgary,Calgary,0.323,1.062,0.95,-0.697,4.0,5.0,5.0,2.0
48060203,-0.04292,0.01861348376252489,0.044289999999999996,0.0013700000000000001,10,Calgary,Calgary,0.059,-0.904,-0.338,-0.625,4.0,1.0,2.0,2.0
48060205,-0.047118181818181816,0.03300366095395534,0.05043636363636363,0.0033181818181818178,11,Calgary,Calgary,-0.785,1.49,-1.085,-0.301,2.0,5.0,1.0,3.0
48060206,-0.013433333333333334,0.000665832811847938,0.014499999999999999,0.0010666666666666667,3,Calgary,Calgary,-1.349,0.471,-1.047,-0.379,1.0,4.0,1.0,3.0
48060207,-0.02905,0.0211392998937997,0.030925,0.001875,4,Calgary,Calgary,-0.525,0.809,-0.261,-0.646,2.0,5.0,3.0,2.0
48060208,-0.06461428571428572,0.002723618041887526,0.06705714285714286,0.002442857142857143,7,Calgary,Calgary,-0.478,0.925,-0.649,-0.556,3.0,5.0,1.0,2.0
48060209,-0.048549999999999996,0.012869213910207053,0.051875,0.003325,4,Calgary,Calgary,-0.527,-0.192,-0.67,-0.21,2.0,3.0,1.0,3.0
48060210,-0.0578,0.00242693221990232,0.061900000000000004,0.0041,3,Calgary,Calgary,1.7,-0.223,-0.408,1.113,5.0,3.0,2.0,5.0
48060211,-0.0611,0.006929646455628168,0.06484999999999999,0.00375,2,Calgary,Calgary,-0.982,-0.212,-0.973,-0.59,1.0,3.0,1.0,2.0
48060212,-0.06126,0.002537321422287682,0.06527999999999999,0.00402,5,Calgary,Calgary,-0.37,-0.131,-0.249,-0.445,3.0,3.0,3.0,3.0
48060214,-0.07546666666666667,0.00928346199791148,0.08363333333333334,0.008166666666666668,6,Calgary,Calgary,-0.608,-0.055,-0.541,-0.169,2.0,3.0,2.0,3.0
48060215,-0.05695,0.006679745504134119,0.06473333333333332,0.007783333333333333,6,Calgary,Calgary,-1.42,0.212,-0.796,-0.388,1.0,4.0,1.0,3.0
48060216,-0.05748333333333333,0.003937215598194575,0.06691666666666667,0.009433333333333334,6,Calgary,Calgary,-0.996,-0.247,-0.615,0.007,1.0,3.0,2.0,4.0
48060229,-0.031100000000000003,0.013152186130069788,0.0522,0.0211,2,Calgary,Calgary,0.607,-0.353,0.498,1.034,4.0,2.0,5.0,5.0
48060230,-0.0407875,0.005624039600551499,0.073475,0.0326875,8,Calgary,Calgary,-0.045,0.033,0.092,-0.212,3.0,3.0,4.0,3.0
48060232,-0.046,0.009050966799187805,0.0766,0.0306,2,Calgary,Calgary,-0.007,-1.935,-0.844,0.521,4.0,1.0,1.0,4.0
48060233,-0.05275,0.0014849242404917531,0.07405,0.0213,2,Calgary,Calgary,-0.351,-0.567,0.145,-0.485,3.0,2.0,4.0,3.0
48060234,-0.05085,0.002192031021678301,0.0722,0.02135,2,Calgary,Calgary,-0.312,-0.723,0.112,0.057,3.0,2.0,4.0,4.0
48060235,-0.043866666666666665,0.0035345909711497502,0.05963333333333334,0.01576666666666667,3,Calgary,Calgary,-0.017,-0.384,-0.086,-0.56,4.0,2.0,3.0,2.0
48060237,-0.03775,0.010412332431624849,0.05365,0.0159,4,Calgary,Calgary,0.005,-0.021,0.126,0.536,4.0,3.0,4.0,4.0
48060238,-0.0378,0.014879852149803098,0.050133333333333335,0.012333333333333333,3,Calgary,Calgary,-0.163,-0.111,0.196,-0.116,3.0,3.0,4.0,3.0
48060239,-0.05179999999999999,,0.0647,0.0129,1,Calgary,Calgary,1.628,-1.179,0.107,0.359,5.0,1.0,4.0,4.0
48060240,-0.058499999999999996,,0.072,0.0135,1,Calgary,Calgary,-1.159,0.736,-0.404,-0.162,1.0,5.0,2.0,3.0
48060241,-0.052899999999999996,,0.0607,0.0078,1,Calgary,Calgary,-1.293,0.046,-0.646,-0.673,1.0,3.0,1.0,2.0
48060242,-0.023450000000000002,0.03104198769408944,0.02955,0.0060999999999999995,2,Calgary,Calgary,-1.019,-0.601,-1.093,-0.283,1.0,2.0,1.0,3.0
48060243,-0.038700000000000005,0.0006082762530298201,0.0506,0.0119,3,Calgary,Calgary,-1.076,-0.297,-0.767,-0.109,1.0,3.0,1.0,3.0
48060244,-0.040499999999999994,0.0018384776310850248,0.0511,0.0106,2,Calgary,Calgary,-1.046,0.092,-0.665,0.359,1.0,3.0,1.0,4.0
48060245,-0.0417,,0.0519,0.0102,1,Calgary,Calgary,-1.35,0.512,-0.812,0.1,1.0,4.0,1.0,4.0
48060246,-0.04326666666666667,0.0001527525231651979,0.05176666666666666,0.008499999999999999,3,Calgary,Calgary,-1.474,0.847,-0.943,0.199,1.0,5.0,1.0,4.0
48060252,-0.04370000000000001,0.031049798711102784,0.06243333333333334,0.018733333333333334,3,Calgary,Calgary,-0.63,-0.642,0.164,1.17,2.0,2.0,4.0,5.0
48060254,-0.055725,0.013212462551192584,0.0718,0.016075,4,Calgary,Calgary,-1.388,0.587,-1.133,0.541,1.0,4.0,1.0,4.0
48060256,-0.04293333333333333,0.0041726090958376,0.06293333333333333,0.02,6,Calgary,Calgary,-1.008,0.099,-0.876,0.638,1.0,3.0,1.0,4.0
48060261,-0.0448,0.0009539392014169439,0.056666666666666664,0.011866666666666666,3,Calgary,Calgary,-1.258,1.43,-0.656,0.519,1.0,5.0,1.0,4.0
48060264,-0.07724,0.004000999875031243,0.089,0.01176,5,Calgary,Calgary,-0.035,-0.744,-0.108,0.588,4.0,2.0,3.0,4.0
48060265,-0.04516666666666667,0.027014317191691766,0.05393333333333333,0.008766666666666667,3,Calgary,Calgary,-0.6,-0.141,-0.672,0.573,2.0,3.0,1.0,4.0
